"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FEDERALBNK","EQ","14-May-2021","         81.60","         82.45","         82.85","         79.05","         79.75","         79.65","         80.55","   20951304","          1687656812.05","      48373","    5003957","         23.88"
"FEDERALBNK","EQ","17-May-2021","         79.65","         80.80","         83.50","         77.65","         81.50","         81.55","         80.93","   97918564","          7924213324.35","     189211","   13357681","         13.64"
"FEDERALBNK","EQ","18-May-2021","         81.55","         84.00","         86.40","         83.10","         84.20","         84.35","         84.87","   84550492","          7175402189.50","     186742","   14852511","         17.57"
"FEDERALBNK","EQ","19-May-2021","         84.35","         84.30","         85.40","         83.30","         84.35","         84.40","         84.43","   26551292","          2241662542.40","      61672","    4641477","         17.48"
"FEDERALBNK","EQ","20-May-2021","         84.40","         84.70","         85.50","         82.85","         83.55","         83.45","         84.25","   22471941","          1893217345.75","      50044","    5201021","         23.14"
"FEDERALBNK","EQ","21-May-2021","         83.45","         84.05","         85.50","         83.40","         85.25","         85.15","         84.57","   24025317","          2031895210.35","      60852","    7109994","         29.59"
"FEDERALBNK","EQ","24-May-2021","         85.15","         85.75","         87.25","         84.85","         86.40","         86.40","         86.16","   32717895","          2819093543.40","      93674","    6767789","         20.69"
"FEDERALBNK","EQ","25-May-2021","         86.40","         86.85","         87.65","         85.60","         87.10","         86.85","         86.72","   28803347","          2497810993.45","      81279","    5056379","         17.55"
"FEDERALBNK","EQ","26-May-2021","         86.85","         87.20","         87.70","         86.60","         86.85","         87.00","         87.23","   20844850","          1818347956.40","      52640","    4564195","         21.90"
"FEDERALBNK","EQ","27-May-2021","         87.00","         87.00","         88.70","         86.25","         87.90","         88.05","         87.68","   22886407","          2006599046.20","      61236","    6009495","         26.26"
"FEDERALBNK","EQ","28-May-2021","         88.05","         88.85","         89.40","         87.65","         88.70","         89.00","         88.54","   24897756","          2204565963.45","      61010","   10214888","         41.03"
"FEDERALBNK","EQ","31-May-2021","         89.00","         88.80","         89.35","         87.00","         87.30","         87.25","         87.83","   19382451","          1702444019.70","      48176","    5277020","         27.23"
"FEDERALBNK","EQ","01-Jun-2021","         87.25","         87.30","         87.90","         85.10","         85.80","         85.75","         85.99","   23672298","          2035615793.65","      51989","   10055429","         42.48"
"FEDERALBNK","EQ","02-Jun-2021","         85.75","         85.75","         87.90","         85.25","         87.55","         87.60","         86.83","   15917553","          1382132885.20","      48992","    4293336","         26.97"
"FEDERALBNK","EQ","03-Jun-2021","         87.60","         87.95","         89.25","         87.75","         87.90","         88.00","         88.31","   18196232","          1606927898.05","      47620","    3576423","         19.65"
"FEDERALBNK","EQ","04-Jun-2021","         88.00","         88.10","         88.50","         86.90","         87.65","         87.85","         87.71","   13270504","          1163963520.30","      30999","    2591557","         19.53"
"FEDERALBNK","EQ","07-Jun-2021","         87.85","         87.90","         88.60","         87.20","         87.60","         87.55","         88.05","   14273855","          1256820546.10","      36400","    5366161","         37.59"
"FEDERALBNK","EQ","08-Jun-2021","         87.55","         87.60","         87.90","         86.05","         86.35","         86.20","         86.69","   12959267","          1123491480.85","      38787","    4576025","         35.31"
"FEDERALBNK","EQ","09-Jun-2021","         86.20","         86.40","         87.60","         83.50","         84.60","         84.50","         85.97","   25076526","          2155885142.85","      58142","    8949048","         35.69"
"FEDERALBNK","EQ","10-Jun-2021","         84.50","         85.00","         86.75","         84.55","         86.40","         86.45","         85.57","   16619873","          1422177233.00","      42640","    5302206","         31.90"
"FEDERALBNK","EQ","11-Jun-2021","         86.45","         87.00","         87.65","         85.30","         86.20","         86.05","         86.41","   13388255","          1156945494.70","      32125","    4180612","         31.23"
"FEDERALBNK","EQ","14-Jun-2021","         86.05","         86.05","         86.05","         83.35","         85.50","         85.30","         84.84","   15538471","          1318276193.75","      55740","    4463715","         28.73"
"FEDERALBNK","EQ","15-Jun-2021","         85.30","         85.75","         87.20","         85.50","         86.15","         86.00","         86.37","   16132267","          1393278695.35","      44984","    4583817","         28.41"
"FEDERALBNK","EQ","16-Jun-2021","         86.00","         86.00","         86.70","         84.75","         84.95","         84.95","         85.46","   13901357","          1187946907.00","      41920","    4909445","         35.32"
"FEDERALBNK","EQ","17-Jun-2021","         84.95","         84.50","         86.45","         84.25","         85.60","         85.35","         85.55","   21189940","          1812826360.75","      57673","    5115839","         24.14"
"FEDERALBNK","EQ","18-Jun-2021","         85.35","         85.75","         86.00","         81.25","         83.90","         83.85","         83.38","   20269918","          1690194101.15","      62121","    5988032","         29.54"
"FEDERALBNK","EQ","21-Jun-2021","         83.85","         82.70","         85.60","         81.90","         85.35","         85.35","         84.18","   14830152","          1248391647.85","      40878","    3875573","         26.13"
"FEDERALBNK","EQ","22-Jun-2021","         85.35","         85.80","         86.60","         84.30","         84.70","         84.60","         85.56","   17222313","          1473558578.90","      57253","    4698189","         27.28"
"FEDERALBNK","EQ","23-Jun-2021","         84.60","         85.10","         86.35","         84.60","         84.90","         84.80","         85.31","   13567339","          1157376466.20","      32829","    3984127","         29.37"
"FEDERALBNK","EQ","24-Jun-2021","         84.80","         85.25","         85.40","         84.05","         85.00","         84.85","         84.70","   12288877","          1040912617.70","      32769","    5008244","         40.75"
"FEDERALBNK","EQ","25-Jun-2021","         84.85","         85.15","         86.20","         84.85","         85.65","         85.75","         85.54","   14215718","          1216077213.70","      34523","    4585564","         32.26"
"FEDERALBNK","EQ","28-Jun-2021","         85.75","         86.20","         88.10","         85.90","         87.40","         87.35","         86.91","   17814231","          1548276862.40","      48791","    7289002","         40.92"
"FEDERALBNK","EQ","29-Jun-2021","         87.35","         87.45","         87.75","         86.00","         86.55","         86.50","         86.70","   17100260","          1482612309.00","      42589","    7706292","         45.07"
"FEDERALBNK","EQ","30-Jun-2021","         86.50","         87.00","         87.55","         86.45","         87.20","         87.10","         87.14","   14367650","          1252043934.50","      39864","    6259968","         43.57"
"FEDERALBNK","EQ","01-Jul-2021","         87.10","         86.80","         86.90","         85.80","         86.10","         86.00","         86.41","    8653163","           747682832.70","      23005","    2153378","         24.89"
"FEDERALBNK","EQ","02-Jul-2021","         86.00","         86.20","         86.30","         84.90","         85.50","         85.30","         85.33","   10597712","           904349150.95","      26935","    3069391","         28.96"
"FEDERALBNK","EQ","05-Jul-2021","         85.30","         85.65","         87.55","         85.30","         87.50","         87.25","         86.67","   17005014","          1473788636.50","      44848","    5594902","         32.90"
"FEDERALBNK","EQ","06-Jul-2021","         87.25","         87.40","         88.50","         86.50","         86.90","         86.90","         87.70","   19807149","          1737127053.40","      56085","    5682741","         28.69"
"FEDERALBNK","EQ","07-Jul-2021","         86.90","         86.90","         86.90","         85.35","         86.50","         86.30","         86.03","   12472836","          1073006634.15","      33758","    3606322","         28.91"
"FEDERALBNK","EQ","08-Jul-2021","         86.30","         86.50","         87.80","         85.50","         86.20","         86.05","         86.77","   14929358","          1295412368.15","      36862","    4162149","         27.88"
"FEDERALBNK","EQ","09-Jul-2021","         86.05","         86.05","         86.10","         85.00","         85.55","         85.60","         85.48","    8479435","           724788747.10","      26341","    1831348","         21.60"
"FEDERALBNK","EQ","12-Jul-2021","         85.60","         88.45","         90.90","         87.10","         89.60","         89.50","         89.56","   66543936","          5959666964.55","     142130","   16658672","         25.03"
"FEDERALBNK","EQ","13-Jul-2021","         89.50","         90.35","         90.35","         88.50","         89.30","         89.25","         89.33","   17595140","          1571737006.55","      49103","    4242409","         24.11"
"FEDERALBNK","EQ","14-Jul-2021","         89.25","         89.50","         90.30","         88.75","         89.95","         89.85","         89.68","   17850303","          1600855917.80","      36716","    6473971","         36.27"
"FEDERALBNK","EQ","15-Jul-2021","         89.85","         89.85","         90.00","         87.60","         88.50","         88.40","         88.62","   14639550","          1297318189.25","      38045","    5449468","         37.22"
"FEDERALBNK","EQ","16-Jul-2021","         88.40","         88.60","         88.90","         87.60","         87.75","         87.90","         88.02","   10270602","           903984922.00","      29746","    3592844","         34.98"
"FEDERALBNK","EQ","19-Jul-2021","         87.90","         86.50","         87.40","         85.80","         86.15","         86.00","         86.48","   11727934","          1014234658.00","      42605","    5015996","         42.77"
"FEDERALBNK","EQ","20-Jul-2021","         86.00","         86.00","         86.35","         82.95","         83.75","         83.75","         84.04","   15546947","          1306557829.45","      50781","    5382057","         34.62"
"FEDERALBNK","EQ","22-Jul-2021","         83.75","         85.00","         85.40","         83.85","         84.35","         84.25","         84.78","   11982348","          1015858408.45","      42997","    4375725","         36.52"
"FEDERALBNK","EQ","23-Jul-2021","         84.25","         84.95","         87.00","         83.70","         85.50","         85.40","         85.15","   52135646","          4439135582.90","      94839","   10394089","         19.94"
"FEDERALBNK","EQ","26-Jul-2021","         85.40","         85.65","         87.60","         84.65","         87.25","         87.25","         86.44","   28994949","          2506294686.05","      68287","    9381132","         32.35"
"FEDERALBNK","EQ","27-Jul-2021","         87.25","         87.50","         88.45","         86.05","         86.15","         86.30","         87.53","   26001457","          2275864980.80","      63950","    7731099","         29.73"
"FEDERALBNK","EQ","28-Jul-2021","         86.30","         86.30","         86.45","         84.75","         85.70","         85.55","         85.49","   12226537","          1045294861.20","      36648","    4132921","         33.80"
"FEDERALBNK","EQ","29-Jul-2021","         85.55","         85.95","         86.40","         85.00","         86.15","         85.90","         85.76","   12676353","          1087129932.15","      31714","    3076148","         24.27"
"FEDERALBNK","EQ","30-Jul-2021","         85.90","         86.15","         88.00","         85.35","         87.50","         87.45","         86.94","   14456555","          1256827434.50","      35041","    4272702","         29.56"
"FEDERALBNK","EQ","02-Aug-2021","         87.45","         87.90","         88.10","         86.30","         86.65","         86.55","         87.21","   10564287","           921316445.75","      30557","    3903050","         36.95"
"FEDERALBNK","EQ","03-Aug-2021","         86.55","         86.05","         89.40","         86.05","         89.05","         89.15","         88.34","   19906321","          1758500707.60","      58162","    7494904","         37.65"
"FEDERALBNK","EQ","04-Aug-2021","         89.15","         89.15","         90.00","         87.25","         88.00","         87.75","         88.40","   22414475","          1981534103.00","      62385","    7573637","         33.79"
"FEDERALBNK","EQ","05-Aug-2021","         87.75","         88.00","         88.05","         85.45","         85.95","         85.95","         86.23","   17695360","          1525837237.65","      43729","    8020492","         45.33"
"FEDERALBNK","EQ","06-Aug-2021","         85.95","         86.00","         87.40","         85.80","         87.00","         87.15","         86.72","   16582952","          1438005756.35","      33849","    7687044","         46.36"
"FEDERALBNK","EQ","09-Aug-2021","         87.15","         87.00","         88.20","         86.35","         87.60","         87.75","         87.45","   11443816","          1000786811.55","      32180","    3157230","         27.59"
"FEDERALBNK","EQ","10-Aug-2021","         87.75","         87.80","         88.15","         85.50","         86.45","         86.40","         87.03","   16781025","          1460400365.65","      38967","    7599225","         45.28"
"FEDERALBNK","EQ","11-Aug-2021","         86.40","         86.50","         86.80","         84.05","         85.10","         85.20","         85.02","   16619726","          1413084303.65","      44058","    6640589","         39.96"
"FEDERALBNK","EQ","12-Aug-2021","         85.20","         85.20","         86.25","         85.10","         85.90","         85.60","         85.68","   10443600","           894823598.60","      34414","    2536048","         24.28"
"FEDERALBNK","EQ","13-Aug-2021","         85.60","         85.75","         86.10","         84.45","         85.30","         85.30","         85.23","    9740235","           830190115.60","      31233","    4097578","         42.07"
"FEDERALBNK","EQ","16-Aug-2021","         85.30","         85.30","         85.50","         84.60","         84.70","         84.80","         84.90","    6958502","           590765697.85","      23684","    2790552","         40.10"
"FEDERALBNK","EQ","17-Aug-2021","         84.80","         84.70","         84.80","         83.00","         83.30","         83.25","         83.64","   11228911","           939189719.80","      38832","    5420413","         48.27"
